DSMUID,MackConfig,SVID,WNsf,TOWsf,Section 0-index,Mack bits
STEP0,0,22,1018,432091,0,2D326401370F005551500892170007F8C7C433C8F8F8EDB17FC53356B7D0
STEP0,0,22,1018,432091,1,5A51600D770900F6D0600A3D1A008E3FEA98832F831F64B1C6FA4ABD2F24
STEP0,0,23,1018,432091,0,BD0D880DD91A0080707001591800DDD1AE53C74831062AE71A957D3E1277
STEP0,0,23,1018,432091,1,B19170030C160041A0500E25100059E88F890E723C83718EBE55A08B419B
STEP0,0,24,1018,432091,0,3984F303171A000F8110099B17002DDC1706A3B72C9AA5BA6675BDBEDDE6
STEP0,0,24,1018,432091,1,3F01800E0C0700C7805004220C0066C4F955C4C2415E0A6C4C4FABD04C7A
STEP0,0,25,1018,432091,0,61095601AA02005DC130029C14001E4933C134AF88468851B111CA3A4431
STEP0,0,25,1018,432091,1,2B31900C1F0E0008F08003BB0300BC5C8B795FF9262496CBE43882B4B8A3
STEP0,0,26,1018,432091,0,9E8541002B050017917003E218004B2C6E8B247DF91B76AD99D012ED3763
STEP0,0,26,1018,432091,1,3651A005AF0A003BC07009CD0400A9805019A528584A646DD99C498138CF
STEP0,0,27,1018,432091,0,E325CF05E60C001ED11003B71200DF7E557CF036D4ACD7E36C64DB4AC00D
STEP0,0,27,1018,432091,1,9441B0064918004070A003050D007D7BA3490352FC7A60F447D1FD3BC90D
STEP0,0,1,1018,432121,0,C317C3007E0E0059502008AB0800E89A10E3914617C3775D746136A6E495
STEP0,0,1,1018,432121,1,3500100FEF0D002F61300474140080D7A40E2EEDE4AD9FFF5274F0BD5696
STEP0,0,2,1018,432121,0,1E3CB20C6C190001A1400A2201002904C3D2B850E16B2767588B39A9FEB7
STEP0,0,2,1018,432121,1,59802006530300B951200A5F1500F7BAB91959117DA55AC6774EDD759165
STEP0,0,3,1018,432121,0,53434502910400A780200D8F1400BDC237F3B57AF9422F916467326B20FC
STEP0,0,3,1018,432121,1,71B03009290A004D8090097B0B000F3EEAE6532F1C73557066E09F692EF4
STEP0,0,4,1018,432121,0,26126C01DC0900F200300DFC0500519A18D68E1DFFF8B07F030B9DC95445
STEP0,0,4,1018,432121,1,76104006CF0B00E771A005861B00517DD512DB83C5B359B18712C0DA2949
STEP0,0,5,1018,432121,0,5662EE03A20A0073004001B10600C59A8C0D182DAB2B3D0DBFA203BC624F
STEP0,0,5,1018,432121,1,8E805008AF09005681700D3A18001A2F7B1C2F8EEDC583FAAF78DD2508C1
