DSMUID,MackConfig,SVID,WNsf,TOWsf,Section 0-index,Mack bits
CIDKR0_DAY0_OP_NOM,0,23,1018,432061,1,C6071600C9D40500A5B410005C820F009BB8A5306D8965429F50B3D663E4
CIDKR0_DAY0_OP_NOM,0,24,1018,432061,0,F1D838B036451A00437E110030EA1700FC34BE6D5663524DD8B7F169F12D
CIDKR0_DAY0_OP_NOM,0,24,1018,432061,1,A9360700CA3D0500F4C90C003D221B003B63FC04CF337833C08F508340AE
CIDKR0_DAY0_OP_NOM,0,25,1018,432061,0,1D84BF10AB610200B9AB1300A19E1400DB2512B425D5DD0036773B437C26
CIDKR0_DAY0_OP_NOM,0,25,1018,432061,1,A3C10E003B4D0800EC04030075D50D00DEC9F4211686D57AA04E31B481BA
CIDKR0_DAY0_OP_NOM,0,26,1018,432061,0,DEC87A70FDDB050037661700309A18003E286BFB688C5FDDFC74D95285F9
CIDKR0_DAY0_OP_NOM,0,26,1018,432061,1,4E5F0A007549070040350400C2B1090079802E6CA7F68CB9F2D3B3603B31
CIDKR0_DAY0_OP_NOM,0,27,1018,432061,0,7EF0DEE0FE0E0B00B4A81100EE731200DF57028751AA244CC046BD6034D7
CIDKR0_DAY0_OP_NOM,0,27,1018,432061,1,6C7B1800FD9B0A00457F0D00310B1300EAEFF66AC9E5824111ED06789F3C
CIDKR0_DAY0_OP_NOM,0,1,1018,432091,0,EA95794099E50E00DB6A0200F374080027129C2C161924611C4E798E4059
CIDKR0_DAY0_OP_NOM,0,1,1018,432091,1,E0500D008C591300CFD41400B7190F00F74B912C1961CDF59E200FBD4897
CIDKR0_DAY0_OP_NOM,0,2,1018,432091,0,BAF1B150BD181900B5DC1400EB83010090A7F191E4BB9A472EBF978944D8
CIDKR0_DAY0_OP_NOM,0,2,1018,432091,1,31DB0300EA6F1200C88A15000FB20D00450E9D3A2ED1918E8D881A5C9D14
CIDKR0_DAY0_OP_NOM,0,3,1018,432091,0,2DDB39B0856D040088FD020079871400268C4C8EE8A66C765B2087AB53AE
CIDKR0_DAY0_OP_NOM,0,3,1018,432091,1,C0670A0069F3090013D30B002ACC190090D7CB8B793CCFC59C69AD461003
CIDKR0_DAY0_OP_NOM,0,4,1018,432091,0,1FA8C230FC95090050420300E62C0500F82A86C4C94842F3D3A8EB0BAB03
CIDKR0_DAY0_OP_NOM,0,4,1018,432091,1,6D3C0B00D3B61A00B1CA1B00FBE810001783CED277EC668B3B9002AAD911
CIDKR0_DAY0_OP_NOM,0,5,1018,432091,0,B412BD60729A0A0066560400D69806007272E737350DA54306C4338D21B9
CIDKR0_DAY0_OP_NOM,0,5,1018,432091,1,0F1809001F8F1700654918003AAF0B0013A47354F890874205B7235D71EE
CIDKR0_DAY0_OP_NOM,0,6,1018,432091,0,135076807FAB1A00077F1800101507004F3C076AAE885DFD1CC82820B430
CIDKR0_DAY0_OP_NOM,0,6,1018,432091,1,D7040500BCBC16008A1B1100443E090083547E2E286C78C40B1E32178B1F
CIDKR0_DAY0_OP_NOM,0,7,1018,432091,0,59C8C1E01CD60600F286080038A518009D893968FAFF1E51017D7BAD292B
CIDKR0_DAY0_OP_NOM,0,7,1018,432091,1,3FB10E00CDA60D004DD40F00EAE11A005E43BF669930BDB8A9A2F9F04730
CIDKR0_DAY0_OP_NOM,0,8,1018,432091,0,9BA388609EF20D000F550100E1DC070064DE758EB4C773DACCE70FA311C7
CIDKR0_DAY0_OP_NOM,0,8,1018,432091,1,2D070F0000A319007C160C00AC1C1700BF36EB5B316A1D14C98F90B93C4E
CIDKR0_DAY0_OP_NOM,0,9,1018,432091,0,2622EF40FA2D0A000CF610001D5C050035D6808E5C174D900B856CC56B38
CIDKR0_DAY0_OP_NOM,0,9,1018,432091,1,0E141500784C0300550016008D601A00376A297EA866337F8F88E6780408
CIDKR0_DAY0_OP_NOM,0,10,1018,432091,0,07C52BD034F505000E1E0B00A286090099AF14904CD2223FB58DB0284DD6
CIDKR0_DAY0_OP_NOM,0,10,1018,432091,1,5A0103006E881A00F1491B005A5A120013BDF9584A7D6583C10403717DB9
CIDKR0_DAY0_OP_NOM,0,11,1018,432091,0,2A3C7C4094481100C3461200F48F0A00F188892AAEAC0A1F25BED6E75B73
CIDKR0_DAY0_OP_NOM,0,11,1018,432091,1,DE230C00CCC7040003D105005DB803009ECD96A8AD8E84B85567E117B879
CIDKR0_DAY0_OP_NOM,0,12,1018,432091,0,9FA6A1B0F9881100E65F1200A6730B00B1097A14CD624A99DC68A43A0A6B
CIDKR0_DAY0_OP_NOM,0,12,1018,432091,1,EE6C0D003D041800F0C8130028710800FFF0CA805F0C65DDBF156E6E33AA
CIDKR0_DAY0_OP_NOM,0,13,1018,432091,0,1CDA3560942E0C0075B00E0057210100B626D0C9CC96E7B776B107F308CF
CIDKR0_DAY0_OP_NOM,0,13,1018,432091,1,5E7211004670070011121200FD161B006C5C9AAAB3094B20DADAF4BB5199
CIDKR0_DAY0_OP_NOM,0,14,1018,432091,0,2DCCB7307868010027E20F00A5D70D00045A4C4FD0E894F2ECC9298F186C
CIDKR0_DAY0_OP_NOM,0,14,1018,432091,1,249607004E8E19007A9A1600941C1500C9FA36C69FDBEFA51C44F5CBB7F9
CIDKR0_DAY0_OP_NOM,0,15,1018,432091,0,C186FB60AE50160049F40E0062C610008308ED11DC23763408DF82186EF9
CIDKR0_DAY0_OP_NOM,0,15,1018,432091,1,797A0800C3720100C48107004DA01400906E3A7FE514E60E6DF9AE36081D
CIDKR0_DAY0_OP_NOM,0,16,1018,432091,0,AF5BC82038E11600D6F10F008D71090066FD5A5FC9365D90939D29E75CCF
CIDKR0_DAY0_OP_NOM,0,16,1018,432091,1,CAA31400909317008FBB0400933005005046A786CCBF83FEE648424CD9E3
